가담항설, 길거리나 항간에 떠도는 소문
가렴주구, 1 가혹하게 착취하고 징수함 2 조세를 가혹하게 징수함
가인박명, 여자의 용모가 아름다우면 운명이 사납고 복이 없다는 뜻
가정맹어호, 가혹한 정치는 호랑이보다 무섭다
가화만사성, 집안이 화목하면 모든 일이 잘되어 나감
각골난망, 은덕을 입은 고마움이 마음 깊이 새겨져 잊혀지지 아니함
각주구검, 융통성이 없고 어리석다는 뜻.
간담상조, 서로의 마음을 터놓고 사귐
감언이설, 남의 비유에 맞도록 꾸민 달콤한 말과 이로운 조건을 붙여 꾀는 말
감지덕지, 몹시 고맙게 여김
감탄고토, 달면 삼키고 쓰면 뱉음. 신의를 돌보지 않고 사리를 꾀한다는 말
강구연월, 태평한 시대의 평화로운 풍경
거두절미, 앞 뒤의 잔 사설을 빼놓고 요점만을 말함
거안사위, 편안히 살 때 닥쳐올 위태로움을 생각함
격물치지, 사물의 이치를 구명하여 자기의 지식을 확고하게 함
격세지감, 딴 세대와 같이 많은 변화가 있었음을 비유하는 말
견강부회, 이치에 맞지 않는 말을 억지로 끌어 붙여 자기 주장의 조건에 맞도록 함 
견리사의, 눈 앞에 이익이 보일 때 의리를 생각함
견물생심, 물건을 보고 욕심이 생김
견위수명, 나라가 위급할 때 목숨을 바침 →見危致命(견위치명)
결자해지, 자기가 저지른 일은 자기가 해결해야 함
결초보은, 풀을 엮어서 은혜를 갚는다. 죽어서도 잊지 않고 은혜를 갚는다는 말
겸양지덕, 겸손하고 사양하는 미덕
경국제세, 나라 일을 경륜하고 세상을 구함→ '경제'의 준말
경국지색, 온 나라를 움직이게 하는 미인. 뛰어나게 아름다운 미인을 일컫는 말. 
계란유골, 달걀 속에도 뼈가 있다. 뜻밖의 장애물이 생김을 이르는 말
계명구도, 닭 울음과 개 흉내를 내는 도둑, 행세하는 사람이 배워서는 아니 될 천한 기능을 가진 사람
고군분투, 남의 도움을 받지 아니하고 힘에 벅찬 일을 잘 해냄
고량진미, 살찐 고기와 좋은 곡식으로 만든 맛있는 음식
고립무원, 고립되어 구원을 받을 데가 없음
고복격양, 배를 두드리며 땅을 침, 태평세월임을 표현한 말.
고식지계, 당장의 편안함만을 꾀하는 일시적인 방편
고육지계, 적을 속이기 위해, 자신의 희생을 무릅쓰고 꾸미는 계책
고진감래, 고생 끝에 낙이 온다는 말
곡학아세, 학문을 왜곡하여 세속에 아부함
골육상잔, 같은 혈족끼리 서로 다투고 해하는 것→ 骨肉相爭(골육상쟁)
과유불급, 정도를 지나침은 미치지 못한 것과 같음
관포지교, 옛날 중국의 관중(管仲)과 포숙(鮑叔)처럼 친구 사이의 우정이 깊음을 이르는 말
괄목상대, 다른 사람의 학문이나 덕행이 크게 진보한 것을 말함
교각살우, 뿔을 고치려다 소를 죽인다. 작은 일에 힘쓰다 큰 일을 망친다는 말이
교언영색, 교묘한 말과 얼굴빛으로 남의 환심을 사려함
교학상장, 가르쳐 주거나 배우거나 다 나의 학업을 증진시킨다는 뜻
구밀복검, 말은 정답게 하나 속으로는 해칠 생각이 있음→ 顏從腹背(안종복배)
구우일모, 많은 것 가운데서 극히 적은 것을 말함
군계일학, 닭 무리 속에 끼어 있는 한 마리의 학이라는 뜻으로 평범한 사람 가운 데서 뛰어난 사람
궁여지책, 막다른 골목에서 그 국면을 타개하려고 생각다 못해 짜낸 꾀
권모술수, 목적 달성을 위해서는 인정이나 도덕을 가리지 않고 권세와 모략 중상등 갖은 방법과 수단을 쓰는 술책
권선징악, 착한 행실을 권장하고 악한 행실을 징계함
권토중래, 1 한번 실패에 굴하지 않고 몇 번이고 다시 일어남 2 세력을 되찾아 다시 쳐들어옴
